date,site,plot_code,subplot_code,x,y,number,species,sample_id,identified_by,height,dbh,measured_by,notes,flag,growth_form,foliar_habit,compoundness
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,12,Zygia_sp,2,OV,15,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,18,Zygia_sp,2,OV,15,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,27,Zygia_sp,2,OV,15,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,36,Zygia_sp,2,OV,15,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,38,Zygia_sp,2,OV,15,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_1I,INT,1I,7,1,77,Paullinia_bracteosa,1,OV,15,NA,AG,NA,NA,Liana,Evergreen,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,49,Zygia_sp,2,OV,16,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,80,Zygia_sp,2,OV,16,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_8J,INT,8J,6,1,39,Psidium_sartorianum,NA,OV,16,NA,OV,NA,NA,Tree,Brevi-deciduous,Simple
2022-03-23T00:00:00Z,INT_8J,INT,8J,6,1,51,Zygia_sp,2,OV,16,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_4J,INT,4J,1,9,11,Zygia_sp,2,OV,16,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_4J,INT,4J,1,9,18,Talisia_floresii,7,OV,16,NA,OV,NA,NA,Tree,Evergreen,Compound
2022-03-23T00:00:00Z,INT_2J,INT,2J,9,1,6,Zygia_sp,2,OV,16,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,11,Zygia_sp,2,OV,16,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,33,Zygia_sp,2,OV,16,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,41,Zygia_sp,2,OV,16,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,44,Zygia_sp,2,OV,16,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,46,Paullinia_bracteosa,1,OV,16,NA,OV,NA,NA,Liana,Evergreen,Compound
2022-03-23T00:00:00Z,INT_1I,INT,1I,7,1,7,Lonchocarpus_rugosus,NA,AG,16,NA,AG,NA,NA,Tree,Brevi-deciduous,Compound
2022-03-23T00:00:00Z,INT_1I,INT,1I,7,1,63,Casearia_emarginata,11,OV,16,NA,AG,NA,NA,Shrub/small tree,Evergreen,Simple
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,27,Paullinia_bracteosa,1,OV,17,NA,OV,NA,NA,Liana,Evergreen,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,48,Zygia_sp,2,OV,17,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_8J,INT,8J,6,1,5,Psidium_sartorianum,NA,OV,17,NA,OV,NA,NA,Tree,Brevi-deciduous,Simple
2022-03-23T00:00:00Z,INT_8J,INT,8J,6,1,11,Psidium_sartorianum,NA,OV,17,NA,OV,NA,NA,Tree,Brevi-deciduous,Simple
2022-03-23T00:00:00Z,INT_8J,INT,8J,6,1,21,Paullinia_bracteosa,1,OV,17,NA,OV,NA,NA,Liana,Evergreen,Compound
2022-03-23T00:00:00Z,INT_8J,INT,8J,6,1,49,Psidium_sartorianum,NA,OV,17,NA,OV,NA,NA,Tree,Brevi-deciduous,Simple
2022-03-23T00:00:00Z,INT_2J,INT,2J,9,1,10,Zygia_sp,2,OV,17,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_2J,INT,2J,9,1,13,Psidium_sartorianum,NA,OV,17,NA,OV,NA,NA,Tree,Brevi-deciduous,Simple
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,13,Zygia_sp,2,OV,17,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,35,Zygia_sp,2,OV,17,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_1I,INT,1I,7,1,48,Amyris_elemifera,10,OV,17,NA,AG,NA,NA,Tree,Evergreen,Compound
2022-03-23T00:00:00Z,INT_1I,INT,1I,7,1,53,Lonchocarpus_rugosus,NA,AG,17,NA,AG,NA,NA,Tree,Brevi-deciduous,Compound
2022-03-23T00:00:00Z,INT_1I,INT,1I,7,1,74,Psidium_sartorianum,NA,AG,17,NA,AG,NA,NA,Tree,Brevi-deciduous,Simple
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,39,Zygia_sp,2,OV,18,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,56,Zygia_sp,2,OV,18,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,64,Zygia_sp,2,OV,18,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_8J,INT,8J,6,1,12,Leucaena_leucocephala,NA,OV,18,NA,OV,NA,NA,Tree/shrub,Evergreen,Compound
2022-03-23T00:00:00Z,INT_8J,INT,8J,6,1,15,Zygia_sp,2,OV,18,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_8J,INT,8J,6,1,32,Psidium_sartorianum,NA,OV,18,NA,OV,NA,NA,Tree,Brevi-deciduous,Simple
2022-03-23T00:00:00Z,INT_8J,INT,8J,6,1,42,Psidium_sartorianum,NA,OV,18,NA,OV,NA,NA,Tree,Brevi-deciduous,Simple
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,76,Zygia_sp,2,OV,19,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_8J,INT,8J,6,1,7,Psidium_sartorianum,NA,OV,19,NA,OV,NA,NA,Tree,Brevi-deciduous,Simple
2022-03-23T00:00:00Z,INT_8J,INT,8J,6,1,14,Psidium_sartorianum,NA,OV,19,NA,OV,NA,NA,Tree,Brevi-deciduous,Simple
2022-03-23T00:00:00Z,INT_8J,INT,8J,6,1,53,Psidium_sartorianum,NA,OV,19,NA,OV,NA,NA,Tree,Brevi-deciduous,Simple
2022-03-23T00:00:00Z,INT_6J,INT,6J,9,10,9,Chamaedorea_seifrizii,6,OV,19,NA,OV,NA,NA,Palm,Evergreen,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,9,Zygia_sp,2,OV,19,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,49,Paullinia_bracteosa,1,OV,19,NA,OV,NA,NA,Liana,Evergreen,Compound
2022-03-23T00:00:00Z,INT_1I,INT,1I,7,1,47,Malvaviscus_arboreus,13,OV,19,NA,AG,NA,NA,Shrub,Deciduous,Simple
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,1,Paullinia_bracteosa,1,OV,20,NA,OV,NA,NA,Liana,Evergreen,Compound
2022-03-23T00:00:00Z,INT_8J,INT,8J,6,1,41,Psidium_sartorianum,NA,OV,20,NA,OV,NA,NA,Tree,Brevi-deciduous,Simple
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,20,Zygia_sp,2,OV,20,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,23,Zygia_sp,2,OV,20,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,37,Zygia_sp,2,OV,20,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,45,Paullinia_bracteosa,1,OV,20,NA,OV,NA,NA,Liana,Evergreen,Compound
2022-03-23T00:00:00Z,INT_10J,INT,10J,8,10,3,Zygia_sp,2,OV,21,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_8J,INT,8J,6,1,19,Coccoloba_cozumelensis,NA,OV,21,NA,OV,NA,NA,Tree/shrub,Deciduous,Simple
2022-03-23T00:00:00Z,INT_8J,INT,8J,6,1,43,Psidium_sartorianum,NA,OV,21,NA,OV,NA,NA,Tree,Brevi-deciduous,Simple
2022-03-23T00:00:00Z,INT_6J,INT,6J,9,10,7,Psidium_sartorianum,NA,OV,21,NA,OV,NA,NA,Tree,Brevi-deciduous,Simple
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,7,Zygia_sp,2,OV,21,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,17,Zygia_sp,2,OV,21,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,4,Zygia_sp,2,OV,22,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,26,Zygia_sp,2,OV,22,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_4J,INT,4J,1,9,15,Paullinia_bracteosa,1,OV,22,NA,OV,NA,NA,Liana,Evergreen,Compound
2022-03-23T00:00:00Z,INT_4J,INT,4J,1,9,17,Paullinia_bracteosa,1,OV,22,NA,OV,NA,NA,Liana,Evergreen,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,6,Zygia_sp,2,OV,22,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,10,Zygia_sp,2,OV,22,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,19,Zygia_sp,2,OV,22,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_1I,INT,1I,7,1,44,Amyris_elemifera,10,OV,22,NA,AG,NA,NA,Tree,Evergreen,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,18,Psidium_sartorianum,NA,OV,23,NA,OV,NA,NA,Tree,Brevi-deciduous,Simple
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,3,Zygia_sp,2,OV,23,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,16,Zygia_sp,2,OV,23,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,29,Zygia_sp,2,OV,23,NA,OV,NA,NA,Tree,Unknown,Compound
